id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4,score_c09,plif_c09,SC2_c09,SC4_c09
103,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCNCC1,-3.477,0.0010708339378363,-3.2278360000000004,0.203267966010285,3.477,3.2278360000000004,3.480212501813509,3.8376398980308553,-3.335,0.022333160944409854,3.335,3.4019994828332294
104,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCNCCC1,-2.927,0.0,-3.0849042,0.2474420311568008,2.927,3.0849042,2.927,3.8272302934704014,-3.039,0.40959426691584166,3.039,4.267782800747526
105,O=S(=O)(c1ccc(Cl)cc1)N1CCNCC1,-4.845,0.0,-4.3039403,0.2195377932170474,4.845,4.3039403,4.845,4.962553679651142,-4.306,0.184734427849939,4.306,4.860203283549817
106,O=S(=O)(c1ccc(F)c(Cl)c1)N1CCNCC1,-5.034,0.0,-4.4367749000000005,0.229501846022133,5.034,4.4367749000000005,5.034,5.125280438066399,-4.855,0.3129314312011045,4.855,5.793794293603314
107,O=S(=O)(c1ccc(F)cc1)N1CCNCC1,-4.899,0.0,-4.2889345,0.2010553204610599,4.899,4.2889345,4.899,4.89210046138318,-4.448,0.34064243381005266,4.448,5.469927301430158
108,O=S(=O)(c1ccc2c(Br)cccc2c1)N1CCCC(N2CCCCC2)C1,-5.32,0.0,-5.7583675,0.2349306357847112,5.32,5.7583675,5.32,6.463159407354134,-6.108,0.3689517233821032,6.108,7.2148551701463095
109,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCNCC1,-4.852,0.0,-4.640668799999999,0.1893890774675247,4.852,4.640668799999999,4.852,5.208836032402574,-5.074,0.07451882610403458,5.074,5.297556478312104
110,O=S(=O)(c1ccc2ccccc2n1)N1CCNCC1,-5.496,0.0,-5.1162251,0.1985968890784032,5.496,5.1162251,5.496,5.71201576723521,-5.069,0.23834472016708563,5.069,5.784034160501257
111,O=S(=O)(c1ccc2cccnc2c1)N1CCNCC1,-5.457,0.0,-5.0164996,0.2116228568792222,5.457,5.0164996,5.457,5.651368170637666,-4.922,0.20107495327968866,4.922,5.525224859839065
112,O=S(=O)(c1ccc2ncccc2c1)N1CCCN(CC2CC2)CC1,-4.028,0.0,-3.727797100000001,0.2211839747442604,4.028,3.727797100000001,4.028,4.391349024232782,-3.891,0.4514045634344203,3.891,5.245213690303261
113,O=S(=O)(c1ccc2ncccc2c1)N1CCCNCC1,-3.765,0.0,-3.5647624,0.2025752478886735,3.765,3.5647624,3.765,4.172488143666021,-3.796,0.2702315812005834,3.796,4.60669474360175
114,O=S(=O)(c1ccc2ncccc2c1)N1CCN(CC2CCCN2)CC1,-5.832,0.0,-5.4902785000000005,0.1691480378244808,5.832,5.4902785000000005,5.832,5.997722613473443,-5.781,0.007851751801524339,5.781,5.804555255404573
115,O=S(=O)(c1ccc2ncsc2c1)N1CCCNCC1,-3.628,0.0,-3.2486378,0.2311548626601777,3.628,3.2486378,3.628,3.942102387980533,-3.315,0.4514045634344203,3.315,4.669213690303261
116,O=S(=O)(c1cccc(Cl)c1)N1CCN(C2CCCCC2)CC1,-5.718,0.0012425148500565,-5.002838500000001,0.1891682131481804,5.718,5.002838500000001,5.72172754455017,5.570343139444542,-5.436,0.3689517233821032,5.436,6.54285517014631
117,O=S(=O)(c1cccc(F)c1)N1CCCNCC1,-3.331,0.0238960495699233,-3.2503628,0.2851241798286618,3.331,3.2503628,3.40268814870977,4.105735339485985,-3.35,0.23834472016708563,3.35,4.065034160501257
118,O=S(=O)(c1cccc2ccccc12)N1CCCNCC1,-3.967,0.0,-3.7093434,0.2463567394838198,3.967,3.7093434,3.967,4.44841361845146,-3.81,0.40959426691584166,3.81,5.038782800747525
